tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
7,0.007,C,submit,bs2,ac1,0,RequestService,ac1#1,,UNBOUND
7,0.007,C,submit,ac1_bus,a01,0,RequestService,a01#2,,UNBOUND
7,0.007,D,respond,ac1_bus,a01,0,RequestService,a01#2,,,ACCEPTED_SERVICING
7,0.007,C,submit,ac1_bus,a11,0,RequestService,a11#3,,UNBOUND
7,0.007,D,respond,ac1_bus,a11,0,RequestService,a11#3,,,ACCEPTED_SERVICING
7,0.007,D,respond,bs2,ac1,0,RequestService,ac1#1,,,ACCEPTED_SERVICING
7,0.007,B,notify,ac1_bus,a01,1,RequestService,a01#2,,SERVICE,
7,0.007,B,service,ac1_bus,a01,1,RequestService,a01#2,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,45.0,_speedCurrent=,1.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
7,0.007,B,notify,ac1_bus,a11,1,RequestService,a11#3,,SERVICE,
7,0.007,B,service,ac1_bus,a11,1,RequestService,a11#3,,SERVICE,,1,_valueCurrent=,0.0,valueTarget=,45.0,_speedCurrent=,1.0,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
7,0.007,B,notify,bs2,ac1,1,RequestService,ac1#1,,SERVICE,
8,0.008,C,submit,bs2,ac1,0,RequestService,ac1#4,,UNBOUND
8,0.008,B,notify,bs2,ac1,0,RequestService,ac1#4,,TERMINATE,
8,0.008,C,submit,ac1_bus,a01,0,RequestService,a01#5,,UNBOUND
8,0.008,B,notify,ac1_bus,a01,0,RequestService,a01#5,,TERMINATE,
8,0.008,D,respond,ac1_bus,a01,0,RequestService,a01#5,,,ACCEPTED_SERVICING
8,0.008,C,submit,ac1_bus,a11,0,RequestService,a11#6,,UNBOUND
8,0.008,B,notify,ac1_bus,a11,0,RequestService,a11#6,,TERMINATE,
8,0.008,D,respond,ac1_bus,a11,0,RequestService,a11#6,,,ACCEPTED_SERVICING
8,0.008,D,respond,bs2,ac1,0,RequestService,ac1#4,,,ACCEPTED_SERVICING
8,0.008,B,notify,ac1_bus,a01,2,RequestService,a01#2,,SERVICE,
8,0.008,B,service,ac1_bus,a01,2,RequestService,a01#2,,SERVICE,,2,_valueCurrent=,1.0,valueTarget=,45.0,_speedCurrent=,1.0,speedChange=NONE,_isTerminating=true,isArrived=true
8,0.008,C,submit,ac1_bus,a01,0,RequestCancel,a01#7,a01#2,UNBOUND
8,0.008,B,notify,ac1_bus,a01,2,RequestService,a01#2,,CANCEL,
8,0.008,D,respond,ac1_bus,a01,0,RequestCancel,a01#7,a01#2,,ACCEPTED_SERVICING
8,0.008,B,notify,ac1_bus,a11,2,RequestService,a11#3,,SERVICE,
8,0.008,B,service,ac1_bus,a11,2,RequestService,a11#3,,SERVICE,,3,_valueCurrent=,1.0,valueTarget=,45.0,_speedCurrent=,1.0,speedChange=NONE,_isTerminating=true,isArrived=true
8,0.008,C,submit,ac1_bus,a11,0,RequestCancel,a11#8,a11#3,UNBOUND
8,0.008,B,notify,ac1_bus,a11,2,RequestService,a11#3,,CANCEL,
8,0.008,D,respond,ac1_bus,a11,0,RequestCancel,a11#8,a11#3,,ACCEPTED_SERVICING
8,0.008,B,notify,bs2,ac1,2,RequestService,ac1#1,,SERVICE,
9,0.009,B,notify,ac1_bus,a01,1,RequestService,a01#5,,SERVICE,
10,0.010,B,service,ac1_bus,a01,1,RequestService,a01#5,,SERVICE,,4,_valueCurrent=,0.0,valueTarget=,0.0,_speedCurrent=,1.0,speedChange=NONE,_isTerminating=false,isArrived=true
10,0.010,C,submit,ac1_bus,a01,0,RequestCancel,a01#9,a01#5,UNBOUND
10,0.010,B,notify,ac1_bus,a01,1,RequestService,a01#5,,CANCEL,
10,0.010,D,respond,ac1_bus,a01,0,RequestCancel,a01#9,a01#5,,ACCEPTED_SERVICING
10,0.010,B,notify,ac1_bus,a11,1,RequestService,a11#6,,SERVICE,
10,0.010,B,service,ac1_bus,a11,1,RequestService,a11#6,,SERVICE,,5,_valueCurrent=,0.0,valueTarget=,-0.0,_speedCurrent=,1.0,speedChange=NONE,_isTerminating=false,isArrived=false
10,0.010,B,notify,bs2,ac1,3,RequestService,ac1#1,,SERVICE,
10,0.010,B,notify,ac1_bus,a11,2,RequestService,a11#6,,SERVICE,
10,0.010,B,service,ac1_bus,a11,2,RequestService,a11#6,,SERVICE,,6,_valueCurrent=,-0.0,valueTarget=,-0.0,_speedCurrent=,1.0,speedChange=NONE,_isTerminating=false,isArrived=true
10,0.010,C,submit,ac1_bus,a11,0,RequestCancel,a11#10,a11#6,UNBOUND
10,0.010,B,notify,ac1_bus,a11,2,RequestService,a11#6,,CANCEL,
10,0.010,D,respond,ac1_bus,a11,0,RequestCancel,a11#10,a11#6,,ACCEPTED_SERVICING
10,0.010,B,notify,bs2,ac1,4,RequestService,ac1#1,,SERVICE,
